filename,label,group,alpha,mode
img_00000.png,blorbo,img_0001,0.0,annular_high
img_00001.png,blorbo,img_0001,0.15,annular_high
img_00002.png,blorbo,img_0001,0.3,annular_high
img_00003.png,blorbo,img_0001,0.5,annular_high
img_00004.png,blorbo,img_0001,0.7,annular_high
img_00005.png,blorbo,img_0001,0.85,annular_high
img_00006.png,blorbo,img_0001,1.0,annular_high
img_00007.png,blorbo,img_0001,0.0,annular_low
img_00008.png,blorbo,img_0001,0.15,annular_low
img_00009.png,blorbo,img_0001,0.3,annular_low
img_00010.png,blorbo,img_0001,0.5,annular_low
img_00011.png,blorbo,img_0001,0.7,annular_low
img_00012.png,blorbo,img_0001,0.85,annular_low
img_00013.png,blorbo,img_0001,1.0,annular_low
img_00014.png,blorbo,img_0001,0.0,annular_mid
img_00015.png,blorbo,img_0001,0.15,annular_mid
img_00016.png,blorbo,img_0001,0.3,annular_mid
img_00017.png,blorbo,img_0001,0.5,annular_mid
img_00018.png,blorbo,img_0001,0.7,annular_mid
img_00019.png,blorbo,img_0001,0.85,annular_mid
img_00020.png,blorbo,img_0001,1.0,annular_mid
img_00021.png,blorbo,img_0001,0.0,mag_log
img_00022.png,blorbo,img_0001,0.15,mag_log
img_00023.png,blorbo,img_0001,0.3,mag_log
img_00024.png,blorbo,img_0001,0.5,mag_log
img_00025.png,blorbo,img_0001,0.7,mag_log
img_00026.png,blorbo,img_0001,0.85,mag_log
img_00027.png,blorbo,img_0001,1.0,mag_log
img_00028.png,blorbo,img_0001,0.0,mag_phase_rgb
img_00029.png,blorbo,img_0001,0.15,mag_phase_rgb
img_00030.png,blorbo,img_0001,0.3,mag_phase_rgb
img_00031.png,blorbo,img_0001,0.5,mag_phase_rgb
img_00032.png,blorbo,img_0001,0.7,mag_phase_rgb
img_00033.png,blorbo,img_0001,0.85,mag_phase_rgb
img_00034.png,blorbo,img_0001,1.0,mag_phase_rgb
img_00035.png,blorbo,img_0001,0.0,phase
img_00036.png,blorbo,img_0001,0.15,phase
img_00037.png,blorbo,img_0001,0.3,phase
img_00038.png,blorbo,img_0001,0.5,phase
